Customer Id,emp_title,annual_inc,addr_state,avg_cur_bal,tot_cur_bal,loan_id,loan_amount,state,funded_amount,int_rate,grade,issue_date,pymnt_plan,purpose,annual_inc_joint_original,emp_length_years,month_number,salary_can_cover,letter_grade,monthly_rate,installement_per_month,zip_code_header,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,loan_status_Charged Off,loan_status_Current,loan_status_Default,loan_status_Fully Paid,loan_status_In Grace Period,loan_status_Late (16-30 days),loan_status_Late (31-120 days),term_ 36 months,term_ 60 months,type_DIRECT_PAY,type_INDIVIDUAL,type_JOINT,grade_label,state_label,addr_state_label,state_name
Yid6XHg5Y1x4YWRceDhkXHgwZVx4ZDhceGFlXHg5Y1x4OWNceGZib1gtRi5ceDg1XHhjNTtkM1x4YTNGXHg5Mlx4YjdceGIzXHgxZVx4MDFceDliXHhiNlx4ZGZkXFwn,store manager,11.258046118484,MN,10.8335628393809,12.779447625857006,146317,15000.0,MN,15000.0,0.0667,3,2018-10-18,False,debt_consolidation,,2,10,False,A,0.005558333333333333,6.1353410399456,550,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,0,22,22,Minnesota
Yid9XHg4Ylx4ODdceGZlUVx4MWFcXFx4ZjZceDg0XHhhNlx4YzdmXHJcblx4YjFceGNmXHhjMVx4ODhcclx4ODZceGJkblx4ZWRcblx4ZTdceGE3XHhkNFx4MDR7XHhiYX1IJw==,mortgage loan officer,11.561725152903833,MI,10.388133458518734,12.585330661469165,218466,24000.0,MI,24000.0,0.1299,14,2016-02-16,False,debt_consolidation,,5,2,False,C,0.010825,6.304359040729982,481,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,2,21,21,Michigan
YidceDBmXHhiY05ceGY4V1x4OTBceDgxXHhlOFx4ODBceDFmXHhhNFx4OWI3XHgxOVx4YjhceGU1XHg4NFx4OTdNR1x4YmVUalx4ZTdceGU3XHhjMDtceGZlRlx4ODlceDhkRCc=,supervisor,11.258046118484,OH,9.349667437197281,12.12221266131835,240070,30000.0,OH,30000.0,0.2199,30,2015-07-15,False,debt_consolidation,,2,7,False,F,0.018325,6.7206986894331076,447,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,5,34,34,Ohio
YidceGI3XHhlMFx4MWU1XHhhZVx4YjVceGE0WVx4ZjJceDE0XHg4ZVx4OWY0XHhiODI2XHgxOURceGRjXHgwMFx4OTAqXHhlZUhceDlmXHhkM2pceGEwcFhceGFjZSc=,teacher,10.985309671896763,TX,8.778171881033469,11.822613617684624,53658,7000.0,TX,7000.0,0.1099,9,2015-07-15,False,debt_consolidation,,10,7,False,B,0.009158333333333333,5.43867857193046,752,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,1,42,42,Texas
Yidxb3l1XHhlMUZceGQ2XHg4YVx4YWJceDE0XHhkNlx4ZWRceGZlXHhhMTpceDljXHhlMVx4MTcuXHg4Nk1ceDg1P0VceGExXHhkNFx4OGJceDE5MFx4YzlceGQ5XHgxMic=,electronics repair technician,11.350418300109132,MN,8.708144074908246,10.499793381646517,15383,3600.0,MN,3600.0,0.1139,8,2016-12-16,False,major_purchase,,4,12,False,B,0.009491666666666667,4.783528705209315,551,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,1,22,22,Minnesota
YicvXHgxOE5WdFx4YjVGXHhlY1x4ZDFceDkxbFx4YmZceGQxXHgwMTxNcVx4YWQ3VVx4N2ZceGEyXHgxYUhceDEwOk9ceDljXHg5ZFx4ZmFceDlmXHhhNic=,professor,11.289794413577894,MI,9.763938087586043,12.161760191437281,235626,28000.0,MI,28000.0,0.1072,9,2019-01-19,False,major_purchase,11.884495917930655,3,1,False,B,0.008933333333333333,6.817804096673658,484,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,1,21,21,Michigan
YiIqRW5uXHhkNCczXHhkYUxceGVlXHhjMFx4OGVceGY5XHgxNDB8XHhjOFx4YTBceGExXHhhZVx4YjhceGM0XHhjNFx4MDRceGY3Y1x4N2YnXHg5Ym8+XHhjMCI=,service manager,11.391356521801407,TX,9.696340374306518,12.46884451922143,191678,20000.0,TX,20000.0,0.1047,9,2018-10-18,False,debt_consolidation,,10,10,False,B,0.008725,6.478150112836793,782,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,1,42,42,Texas
YidceGUzYHJTXHhlMFx4MDZceGNmLFx4ZjlfWlx4YWZceGQ4XHg4ZFx4ODVceDA3cnghXHhmNFx4MGV2XHhkNSklXHhiZFx4Y2RceGJkcFx4YWI2SCc=,receptionist,9.546884034617925,CA,7.883069351305753,9.269175157697076,156390,15000.0,CA,15000.0,0.1359,11,2017-09-17,False,debt_consolidation,10.896757843893464,0,9,False,C,0.011325,5.848873899100926,928,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,2,4,4,California
YidceGY5Z31ceGVlXHhmNClceGE4XHhkNFx4ZTBQXHg5NVx4MWZceDFlXHhiOC1nXHgwMWxuXHhjNV5BMVx4ZjFceDliXHhlZE0qOztZXHhmYSc=,melter,10.933124826700707,IL,7.955074273262696,10.439629984285908,8259,2700.0,IL,2700.0,0.1757,17,2015-04-15,False,debt_consolidation,,3,4,False,D,0.014641666666666666,4.5852739778629905,606,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,3,13,13,Illinois
YidceGQ5SVx4MDNceGZlXHhiNFx4ZWFceDlkXHgwNHRceGRjPFx4MWVFNCVceDk0XHgwYlpceDhldFx4YTNceGE5Ni1ceGQ3cFx4YjAiZ1x4MTYrWic=,registered nurse,11.765682185980085,WI,8.47595444339964,11.69468019448128,179572,18000.0,WI,18000.0,0.1072,10,2018-12-18,False,debt_consolidation,,2,12,False,B,0.008933333333333333,5.965774401712808,544,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,1,47,47,Wisconsin
